Sampling Period,Municipality,Land use,Heavy metal,Heavy metal concentration (mg/kg DM),Remarks,Year,Sampling date
2010-2014,Disentis/Mustér,Grassland,nickel,14.4,-,2013,17.04.2013
1985-1989,Ependes (VD),Grassland,nickel,25.9,-,1989,14.06.1989
2000-2004,Ependes (VD),Grassland,nickel,24.5,-,2004,09.06.2004
2000-2004,Orbe,Deciduous forest,nickel,11.8,-,2004,21.09.2004
2015-2019,Ependes (VD),Grassland,nickel,22.8,-,2019,25.03.2019
1995-1999,Landquart,Crop cultivation,nickel,30.1,-,1998,14.05.1998
2005-2009,Disentis/Mustér,Grassland,nickel,14.3,-,2008,05.06.2008
1990-1994,Surses,Grassland,nickel,332.3,-,1993,29.06.1993
2005-2009,Niederlenz,Deciduous forest,nickel,11.9,-,2009,15.04.2009
2015-2019,Disentis/Mustér,Grassland,nickel,19.1,-,2018,11.04.2018
2005-2009,Kappelen,Deciduous forest,nickel,25.1,-,2008,19.06.2008
1995-1999,Stammheim,Mixed forest,nickel,34.6,-,1999,03.03.1999
1990-1994,Jussy,Deciduous forest,nickel,38.4,-,1994,05.07.1994
1995-1999,Zürich,Mixed forest,nickel,38.9,-,1999,10.03.1999
2005-2009,Staffelbach,Mixed forest,nickel,15.7,-,2009,03.04.2009
1995-1999,Orbe,Deciduous forest,nickel,11,-,1999,31.03.1999
2005-2009,Ependes (VD),Grassland,nickel,24.8,-,2009,01.04.2009
2015-2019,Leuggern,Crop cultivation,nickel,15.1,-,2016,18.02.2016
1990-1994,Leuggern,Crop cultivation,nickel,14.3,-,1991,15.04.1991
1985-1989,Staffelbach,Mixed forest,nickel,15.8,-,1989,19.04.1989
1985-1989,Albula/Alvra,Coniferous forest,nickel,3.2,-,1988,28.07.1988
1990-1994,Albula/Alvra,Coniferous forest,nickel,3.7,-,1993,01.07.1993
1995-1999,Wettingen,Mixed forest,nickel,44.3,-,1999,09.03.1999
1985-1989,Staatswald Galm,Mixed forest,nickel,10.6,-,1989,14.06.1989
1985-1989,Montanaire,Mixed forest,nickel,17.3,-,1989,14.06.1989
1995-1999,Staffelbach,Mixed forest,nickel,15.8,-,1999,10.03.1999
2005-2009,Wald (ZH),Coniferous forest,nickel,34.3,-,2008,28.05.2008
2010-2014,Wald (ZH),Coniferous forest,nickel,33.8,-,2013,03.06.2013
1995-1999,Montanaire,Mixed forest,nickel,17.2,-,1999,31.03.1999
1985-1989,Orbe,Deciduous forest,nickel,10.6,-,1989,05.07.1989
1985-1989,Surses,Grassland,nickel,336,-,1988,27.07.1988
2010-2014,Ependes (VD),Grassland,nickel,24.6,-,2014,27.03.2014
1990-1994,Ependes (VD),Grassland,nickel,24.1,-,1994,27.09.1994
