Municipality,Latitude,Longitude
Aadorf,47.4915782,8.9029526
Albula/Alvra,46.6902195,9.6290668
Alpthal,47.0734939,8.7138911
Aristau,47.2863467,8.3626162
Attalens,46.5110996,6.8489696
Avully,46.1695458,6.0013516
Bellinzona,46.1920538,9.0205888
Bettlach,47.2017347,7.4254322
Binningen,47.53656,7.570077
Birwinken,47.5821126,9.1976761
Buchegg,47.1337526,7.4693691
Campo (Vallemaggia),46.28887,8.496085
Chamoson,46.2013342,7.2232538
Clos du Doubs,47.3493072,7.1208528
Coldrerio,45.8538378,8.9871005
Conthey,46.1880173,7.2903423
Cornol,47.4073679,7.1612963
Davos,46.796198,9.8236892
Disentis/Mustér,46.7041748,8.8549785
Domleschg,46.7695014,9.4656342
Duggingen,47.4520839,7.606511
Dällikon,47.4399418,8.4388272
Dübendorf,47.3969942,8.6185666
Ebikon,47.0812067,8.338521
Entlebuch,46.9922358,8.0645622
Ependes (VD),46.7431583,6.6083432
Ernen,46.3988816,8.1460083
Erstfeld,46.8215088,8.6499636
Eschenbach (LU),47.1330227,8.317969
Etoy,46.4860906,6.4193113
Frauenfeld,47.5561915,8.8963347
Gais,47.3625034,9.4542517
Gempen,47.475167,7.6602844
Glarus Nord,47.1066686,9.0796635
Glarus Süd,46.9185092,9.0927782
Grindelwald,46.6242733,8.0367462
Gsteig,46.3855821,7.2673253
Haute-Ajoie,47.3863988,6.9833047
Hendschiken,47.386254,8.2168579
Hochdorf,47.1665361,8.2899709
Härkingen,47.3069637,7.815973
Ins,47.0058984,7.1056472
Jussy,46.2367629,6.269155
Kappelen,47.0607003,7.267294
Kiesen,46.8195399,7.5848154
Koppigen,47.1318304,7.601523
Köniz,46.9222385,7.4130582
Küssnacht (SZ),47.08385,8.4386308
L'Abbaye,46.6492716,6.3186169
La Brévine,46.9801928,6.6070172
La Neuveville,47.0637688,7.0927997
La Sarraz,46.6590583,6.5124448
Landquart,46.9095832,9.7978467
Langenthal,47.2116019,7.788786
Le Cerneux-Péquignot,47.0166187,6.6652883
Leuggern,47.5798217,8.217218
Lugano,46.0050102,8.9520281
Lützelflüh,47.0093461,7.6886004
Marthalen,47.6257747,8.6501583
Mathod,46.7667908,6.5647296
Mels,47.0467333,9.4192932
Montanaire,46.6941453,6.7609465
Muntogna da Schons,46.6324346,9.3777087
Möhlin,47.560991,7.8431299
Mörschwil,47.4675534,9.4227493
Nesslau,47.2226153,9.2020206
Neuchâtel,46.9895828,6.9292641
Niederlenz,47.4019522,8.1757198
Niedermuhlern,46.8615365,7.4654489
Novaggio,46.0195496,8.8449841
Nyon,46.3820585,6.2402791
Oberriet (SG),47.320756,9.5675673
Oensingen,47.2874895,7.7110465
Orbe,46.724144,6.5317943
Pailly,46.7013191,6.6745
Payerne,46.8208047,6.939126
Realp,46.5988457,8.5020509
Rifferswil,47.241563,8.4971398
Roggwil (TG),47.5017356,9.3878476
Rothenfluh,47.4608887,7.914597
Saint-Martin (VS),46.1535469,7.4688063
Sant'Antonino,46.1532456,8.9743579
Santa Maria in Calanca,46.2633935,9.144283
Schleitheim,47.7488818,8.4845902
Scuol,46.7976371,10.2996234
St. Moritz,46.4978958,9.8392428
St. Stephan,46.492481,7.3976313
Staatswald Galm,46.9167195,7.1743816
Staffelbach,47.2834729,8.0419242
Stammheim,47.6342305,8.7903122
Surses,46.5247973,9.5947154
Trub,46.9417628,7.878947
Unterschächen,46.8631124,8.7703521
Val-de-Ruz,47.0567795,6.9099064
Vallon,46.882477,6.951657
Visp,46.2913113,7.8811918
Vouvry,46.3372451,6.8887175
Wald (ZH),47.2740899,8.9132351
Wartau,47.0926493,9.4548092
Wettingen,47.465839,8.3266114
Wiedlisbach,47.2524377,7.6471049
Winterthur,47.4991723,8.7291498
Zernez,46.6979839,10.0943311
Zuzwil (BE),47.0514104,7.4715761
Zürich,47.3744489,8.5410422
